taxon,genus,family,vernacular_name,native_status,floral_unit_definition,sugar_per_floral_unit_ug,sugar_data_type,sugar_data_source,comments
Erica carnea and hybrids,Erica,Ericaceae,winter heath,non-native,single flower,80.63,empirical,Baude et al. 2016,1 species in genus (Erica cinerea); 20 flowers measured (1 site on 2 days)
Erica cinerea,Erica,Ericaceae,bell heather,native,single flower,80.63,empirical,Baude et al. 2016,same species; 20 flowers measured (1 site on 2 days)
Erica tetralix,Erica,Ericaceae,corss-leafed heath,native,single flower,70.30,empirical,Baude et al. 2016,same species; 20 flowers measured (2 sites on 2 days)
Erigeron glaucus,Erigeron,Asteraceae,"seaside daisy/fleabane, beach aster",non-native,single capitulum,1374.60,empirical,Tew et al. (this study),same species; 20 flowers measured (2 sites on 2 days) and 10 FUs counted
Erigeron karvinskianus,Erigeron,Asteraceae,Mexican fleabane,non-native,single capitulum,496.53,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Erodium cicutarium,Erodium,Geraniaceae,common stork's-bill,native,single flower,13.01,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Erophila verna,Erophila,Brassicaceae,"spring draba, common whitlowgrass",native,single flower,4.16,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Eruca vesicaria,Eruca,Brassicaceae,rocket,non-native,single flower,115.08,empirical,Baude et al. 2016,1 species in genus (Raphanus raphanistrum used as Eruca vesicaria synonymous with Raphanus vesicarius); 20 flowers measured (1 site on 1 day)
Erysimum spp,Erysimum,Brassicaceae,wallflower,non-native,single flower,550.32,empirical,Tew et al. (this study),2 species in genus (unweighted mean of Erysimum cheiri and Erysimum linifolium); 42 flowers measured (3 sites on 4 days)
Escallonia sp,Escallonia,Escalloniaceae,escallonia,non-native,single flower,250.85,empirical,Tew et al. (this study),1 species in genus (Escallonia rubra); 20 flowers measured (2 sites on 2 days)
Eschscholzia californica,Eschscholzia,Papaveraceae,"California poppy, golden poppy",non-native,single flower,10.32,empirical,Hicks et al. 2016,same species; 15 flowers measured (1 site on 1 day)
Eucomis bicolor,Eucomis,Asparagaceae,variegated pineapple lily,non-native,single flower,1756.18,empirical,Tew et al. (this study),1 species in genus (Eucomis comosa); 10 flowers measured (1 site on 1 day)
Euonymus japonica,Euonymus,Celastraceae,"evergreen spindle, Japanese spindle",non-native,single flower,146.23,empirical,Tew et al. (this study),1 species in genus (Euonymus fortunei); 10 flowers measured (1 site on 1 day)
Eupatorium cannabinum,Eupatorium,Asteraceae,"hemp-agrimony, holy rope",native,single capitulum,81.70,empirical,Baude et al. 2016,same species; 20 flowers measured (2 sites on 2 days) and 10 FUs counted
Euphorbia amygdaloides and hybrids,Euphorbia,Euphorbiaceae,wood spurge,native,single cyme,330.22,empirical,Tew et al. (this study),1 species in genus (Euphorbia characias); 34 flowers measured (2 sites on 2 days) and 10 FUs counted
Euphorbia characias,Euphorbia,Euphorbiaceae,Mediterranean spurge,non-native,single cyme,330.22,empirical,Tew et al. (this study),same species; 34 flowers measured (2 sites on 2 days) and 10 FUs counted
Euphorbia cyparissias,Euphorbia,Euphorbiaceae,Cypress spurge,non-native,single cyme,120.34,empirical,Tew et al. (this study),1 species in genus (Euphorbia helioscopia); 10 flowers measured (1 site on 1 day) and 6 FUs counted
Euphorbia dulcis,Euphorbia,Euphorbiaceae,sweet spurge,non-native,single cyme,120.34,empirical,Tew et al. (this study),1 species in genus (Euphorbia helioscopia); 10 flowers measured (1 site on 1 day) and 6 FUs counted
Euphorbia esula agg,Euphorbia,Euphorbiaceae,"green spurge, leafy spurge,",non-native,single cyme,330.22,empirical,Tew et al. (this study),1 species in genus (Euphorbia characias); 34 flowers measured (2 sites on 2 days) and 10 FUs counted
Euphorbia helioscopia,Euphorbia,Euphorbiaceae,sun spurge,non-native,single cyme,120.34,empirical,Tew et al. (this study),same species; 10 flowers measured (1 site on 1 day) and 6 FUs counted
Euphorbia myrsinites,Euphorbia,Euphorbiaceae,"myrtle spurge, blue spurge, broad-leaved glaucous-spurge",non-native,single cyme,330.22,empirical,Tew et al. (this study),1 species in genus (Euphorbia characias); 34 flowers measured (2 sites on 2 days) and 10 FUs counted
Euphorbia peplus,Euphorbia,Euphorbiaceae,"petty spurge, milkweed",non-native,single cyme,0.92,empirical,Tew et al. (this study),same species; 20 flowers measured (2 sites on 2 days) and 10 FUs counted
Euphorbia pulcherrima,Euphorbia,Euphorbiaceae,poinsettia,non-native,single cyme,120.34,empirical,Tew et al. (this study),1 species in genus (Euphorbia helioscopia); 10 flowers measured (1 site on 1 day) and 6 FUs counted
Euphorbia stricta,Euphorbia,Euphorbiaceae,upright spurge,non-native,single cyme,120.34,empirical,Tew et al. (this study),1 species in genus (Euphorbia helioscopia); 10 flowers measured (1 site on 1 day) and 6 FUs counted
Euphrasia officinalis agg,Euphrasia,Orobanchaceae,eyebright,native,single flower,17.83,empirical,Baude et al. 2016,same species (Euphrasia officinalis agg.); 20 flowers measured (2 sites on 2 days)
Fallopia baldschuanica,Fallopia,Polygonaceae,"Russian-vine, Bukhara fleeceflower, Chinese fleecevine",non-native,single flower,65.08,empirical,Baude et al. 2016,1 species in genus (Fallopia convolvulus); 10 flowers measured (1 site on 1 day)
Fallopia convolvulus,Fallopia,Polygonaceae,"black bindweed,  wild buckwheat",non-native,single flower,65.08,empirical,Baude et al. 2016,same species; 10 flowers measured (1 site on 1 day)
Ficaria verna,Ficaria,Ranunculaceae,"lesser celandine, pilewort",native,single flower,13.20,empirical,Baude et al. 2016,same species (listed as Ranunculus ficaria); 20 flowers measured (2 sites on 2 days)
Filipendula ulmaria,Filipendula,Rosaceae,"meadowsweet, mead wort",native,single flower,0.00,empirical,Baude et al. 2016,same species; 18 flowers measured (2 sites measured on 2 days)
Foeniculum vulgare,Foeniculum,Apiaceae,fennel,non-native,secondary umbel,423.24,empirical,Tew et al. (this study),same species; 36 flowers measured (3 sites on 3 days) and 16 FUs counted
Forsythia x intermedia,Forsythia,Oleaceae,border forsythia,non-native,single flower,4.77,empirical,Tew et al. (this study),same species; 20 flowers measured (2 sites on 2 days)
Fragaria ananassa,Fragaria,Rosaceae,strawberry,non-native,single flower,110.64,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Fragaria vesca,Fragaria,Rosaceae,wild strawberry,native,single flower,38.96,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Francoa sonchifolia,Francoa,Francoaceae,bridalwreath,non-native,single flower,228.22,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Fritillaria meleagris,Fritillaria,Liliaceae,Snake's head fritillary,native,single flower,869.51,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Fuchsia sp,Fuchsia,Onagraceae,fuchsia,non-native,single flower,8248.72,empirical,Tew et al. (this study),1 species in genus (Fuchsia magellanica and hyrbids hybrid); 20 flowers measured (2 sites on 2 days)
Fumaria spp,Fumaria,Papaveraceae,"fumitory, fumewort",native,single flower,21.90,empirical,Hicks et al. 2016,1 species in genus (Fumaria officinalis); 7 flowers measured (1 site on 1 day)
Galanthus nivalis,Galanthus,Amaryllidaceae,snowdrop,non-native,single flower,40.46,empirical,Tew et al. (this study),same species; 20 flowers measured (2 sites on 2 days)
Galeopsis tetrahit,Galeopsis,Lamiaceae,common hemp-nettle,native,single flower,173.48,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Galinsoga parviflora,Galinsoga,Asteraceae,"gallant soldier, quickweed, potato weed",non-native,single capitulum,177.09,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Galium aparine,Galium,Rubiaceae,"cleavers, goosegrass, stickyweed",native,single flower,9.48,empirical,Baude et al. 2016,same species; 10 flowers measured (1 site on 1 day)
Galium odoratum,Galium,Rubiaceae,"sweetscented bedstraw, sweet woodruff",native,single flower,4.88,empirical,Timberlake et al. 2019,same species
Galium palustre,Galium,Rubiaceae,common marsh bedstraw,native,single flower,0.94,empirical,Baude et al. 2016,1 species in genus (Galium saxatile); 10 flowers measured (1 site on 1 day)
Galium saxatile,Galium,Rubiaceae,heath bedstraw,native,single flower,0.94,empirical,Baude et al. 2016,same species; 10 flowers measured (1 site on 1 day)
Galium uliginosum,Galium,Rubiaceae,fen bedstraw,native,single flower,0.94,empirical,Baude et al. 2016,1 species in genus (Galium saxatile); 10 flowers measured (1 site on 1 day)
Galium verum,Galium,Rubiaceae,"lady's bedstraw, yellow bedstraw",native,single flower,1.16,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 25 flowers measured (2 sites on 2 days); weighted mean across the two datasets used
Gazania rigens and hybrids,Gazania,Asteraceae,treasure flower,non-native,single capitulum,3144.20,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Genista tinctoria,Genista,Fabaceae,"dyer’s greenweed, dyer's broom",native,single flower,33.96,empirical,Baude et al. 2016,1 species in genus (Cytisus scoparius used as Genista tinctoria is synonymous with Cytisus tinctoria); 10 flowers measured (1 site on 1 day)
Geranium dissectum,Geranium,Geraniaceae,cut-leaved crane's-bill,non-native,single flower,2.69,empirical,Baude et al. 2016,same species; 20 flowers measured (2 sites on 2 days)
Geranium lucidum,Geranium,Geraniaceae,shining cranesbill,native,single flower,97.79,empirical,Baude et al. 2016,1 species in genus (Geranium robertianum); 15 flowers measured (2 sites on 2 days)
Geranium molle/pusillum,Geranium,Geraniaceae,"dove's-foot crane's-bill, small-flowered crane's-bill",native,single flower,20.27,empirical,Baude et al. 2016; Hicks et al. 2016,same species (Geranium molle); 23 flowers measured (3 sites on 3 days); weighted mean across the two datasets used
Geranium pratense,Geranium,Geraniaceae,meadow crane's-bill,native,single flower,16.43,empirical,Baude et al. 2016,same species; 10 flowers measured (1 site on 1 day)
Geranium pyrenaicum,Geranium,Geraniaceae,hedgerow crane's-bill,non-native,single flower,82.31,empirical,Tew et al. (this study),same species; 10 flowers measured (1 site on 1 day)
Geranium robertianum,Geranium,Geraniaceae,herb robert,native,single flower,97.79,empirical,Baude et al. 2016,same species; 15 flowers measured (2 sites on 2 days)
Geranium spp (ornamental),Geranium,Geraniaceae,ornamental geranium/crane's-bill,non-native,single flower,291.52,empirical,Tew et al. (this study),1 species in genus (Geranium endressii); 20 flowers measured (2 sites on 2 days)
Geum quellyon,Geum,Rosaceae," scarlet avens, Chilean avens",non-native,single flower,124.60,empirical,Tew et al. (this study),1 species in genus (Geum flore-plena); 10 flowers measured (1 site on 2 days)
Geum urbanum,Geum,Rosaceae,"wood avens, herb Bennet",native,single flower,29.80,empirical,Baude et al. 2016,same species; 17 flowers measured (2 sites on 2 days)
Gladiolus x hortulanus,Gladiolus,Iridaceae,"gladiolus, sword lily",non-native,single flower,888.33,empirical,Tew et al. (this study),1 species in genus (Gladiolus communis); 10 flowers measured (1 site on 1 day)
Glebionis coronaria,Glebionis,Asteraceae,crown daisy,non-native,single capitulum,931.21,empirical,Hicks et al. 2016,same species; 11 FUs counted (1 site on 1 day)
Glebionis segetum,Glebionis,Asteraceae,corn marigold/daisy,non-native,single capitulum,931.21,empirical,Hicks et al. 2016,same species; 11 FUs counted (1 site on 1 day)
Glechoma hederacea,Glechoma,Lamiaceae,ground-ivy,native,single flower,94.37,empirical,Baude et al. 2016,same species; 30 flowers measured (3 sites on 3 days)
Hedera helix,Hedera,Araliaceae,ivy,native,single flower,609.82,empirical,Baude et al. 2016,same species; 19 flowers measured (2 sites on 2 days)
Helenium autumnale and hybrids,Helenium,Asteraceae,sneezeweeds,non-native,single capitulum,1089.29,empirical,Tew et al. (this study),same species; 36 flowers measured (2 sites on 3 days) and 13 FUs counted
Helianthemum sp (ornamental),Helianthemum,Cistaceae,rock rose,non-native,single flower,0.00,empirical,Baude et al. 2016,one species in genus (Helianthemum nummularium); 7 flowers measured (1 site on 1 day)
Helianthus annuus,Helianthus,Asteraceae,common sunflower,non-native,single capitulum,7107.12,empirical,Tew et al. (this study),same species; 12 flowers measured (1 site on 1 day) and 2 FUs counted
Heliopsis helianthoides,Heliopsis,Asteraceae,"rough/smooth oxeye, false sunflower",non-native,single capitulum,3144.20,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Helleborus spp,Helleborus,Ranunculaceae,"hellebore, winter rose",non-native,single flower,4627.23,empirical,Tew et al. (this study),"3 species in genus (unweighted mean of Helleborus argifolius, Helleborus lividus, Helleborus × hybridus); 40 flowers measured (2 sites on 2 days)"
Helminthotheca echioides,Helminthotheca,Asteraceae,bristly oxtongue,non-native,single capitulum,453.60,empirical,Baude et al. 2016,same species (Picris echioides); 8 flowers measured (1 site on 1 day) and 7 FUs counted
Hemerocallis spp,Hemerocallis,Xanthorrhoeaceae,daylily,non-native,single flower,2178.17,empirical,Tew et al. (this study),1 or 2 species in genus (Hemerocallis sp.); 20 flowers measured (2 sites on 2 days)
Heracleum sphondylium,Heracleum,Apiaceae,"hogweed, cow parsnip",native,secondary umbel,1440.15,empirical,Baude et al. 2016,same species; 20 flowers measured (2 sites on 3 days) and 15 FUs counted
Hesperis matronalis,Hesperis,Brassicaceae,"dame's rocket, dame's-violet",non-native,single flower,65.09,empirical,Tew et al. (this study),same species; 20 flowers measured (2 sites on 2 days)
Heuchera sp,Heuchera,Saxifragaceae,"coral bells, alumroot",non-native,single flower,180.86,empirical,Tew et al. (this study),3 varieties in genus; 39 flowers measured (3 sites on 3 days); mean across all 39 flowers 
Hibiscus syriacus,Hibiscus,Malvaceae,"hibiscus, Korean rose, rose of Sharon, rose mallow",non-native,single flower,2545.74,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Hieracium agg,Hieracium,Asteraceae,hawkweed,native,single capitulum,370.99,empirical,Baude et al. 2016,1 species in genus (Pilosella officinarum used as it is synoymous with Hieracium spp.); 10 flowers measured (1 site on 1 day) and 5 FUs counted
Hosta sp,Hosta,Asparagaceae,"hostas, plantain lilies",non-native,single flower,948.10,empirical,Tew et al. (this study),2 species in genus (unweighted mean of Hosta sp. (Tardiana Group) and Hosta sieboldiana); 24 flowers (2 sites on 2 days)
Houttuynia cordata,Houttuynia,Sauruaceae,"chameleon plant, heart leaf",non-native,single flower,3.98,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Hyacinthoides non-scripta/hispanica and hybrids,Hyacinthoides,Asparagaceae,bluebell,native,single flower,113.44,empirical,Baude et al. 2016,same species (Hyacinthoides non-scripta); 30 flowers measured (3 sites on 3 days)
Hyacinthus orientalis,Hyacinthus,Asparagaceae,common/garden hyacinth,non-native,single flower,36.70,empirical,Tew et al. (this study),same species; 10 flowers measured (1 site on 1 day)
Hydrangea macrophylla,Hydrangea,Hydrangeaceae,French hydrangea,non-native,single flower,0.71,empirical,Tew et al. (this study),same species; 20 flowers measured (2 sites on 2 days)
Hydrangea petiolaris,Hydrangea,Hydrangeaceae,climbing hydrangea,non-native,single flower,34.30,empirical,Tew et al. (this study),1 species in genus (Hydrangea paniculata); 12 flowers measured (1 site on 1 day)
Hypericum androsaemum,Hypericum,Hypericaceae,"Tutsan, Shrubby St. John's Wort",native,single flower,0.00,empirical,Baude et al. 2016,1 species in genus (Hypericum pulchrum); 10 flowers measured (1 site on 1 day)
Hypericum perforatum,Hypericum,Hypericaceae,common/perforate St John's-wort,native,single flower,0.00,empirical,Baude et al. 2016,1 species in genus (Hypericum pulchrum); 10 flowers measured (1 site on 1 day)
Hypericum pseudohenryi,Hypericum,Hypericaceae,Irish tutsan,non-native,single flower,0.00,empirical,Baude et al. 2016,1 species in genus (Hypericum pulchrum); 10 flowers measured (1 site on 1 day)
Hypericum spp (ornamental),Hypericum,Hypericaceae,St John's-worts,non-native,single flower,0.00,empirical,Baude et al. 2016,1 species in genus (Hypericum pulchrum); 10 flowers measured (1 site on 1 day)
Hypochaeris glabra,Hypochaeris,Asteraceae,smooth cat's ear,native,single capitulum,1171.61,empirical,Baude et al. 2016; Hicks et al. 2016,1 species in genus (Hypochaeris radicata); 15 FUs counted (3 sites on 3 days); weighted mean used to combine datasets at FU level
Hypochaeris radicata,Hypochaeris,Asteraceae,"hairy cat's ear, flatweed",native,single capitulum,1171.61,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 15 FUs counted (3 sites on 3 days); weighted mean used to combine datasets at FU level
Iberis sempervirens,Iberis,Brassicaceae,perennial candytuft,non-native,single flower,2.57,empirical,Tew et al. (this study),same species; 22 flowers measured (2 sites on 2 days)
Iberis umbellata,Iberis,Brassicaceae,"garden candytuft, globe candytuft",non-native,single flower,2.57,empirical,Tew et al. (this study),1 species in genus (Iberis sempervirens); 22 flowers measured (2 sites on 2 days)
Ilex aquifolium,Ilex,Aquifoliaceae,holly,native,single flower,163.49,empirical,Timberlake et al. 2019,same species
Impatiens balsamina,Impatiens,Balsaminaceae,garden balsam,non-native,single flower,68.90,empirical,Tew et al. (this study),1 species in genus (Impatiens neuguinea); 12 flowers measured (1 site on 1 day)
Impatiens glandulifera,Impatiens,Balsaminaceae,Himalayan balsam,non-native,single flower,7667.84,empirical,Baude et al. 2016,same species; 20 flowers measured (2 sites on 2 days)
Impatiens neuguinea hybrid,Impatiens,Balsaminaceae,New Guinea impatiens,non-native,single flower,68.90,empirical,Tew et al. (this study),same species; 12 flowers measured (1 site on 1 day)
Impatiens walleriana,Impatiens,Balsaminaceae,busy Lizzie,non-native,single flower,68.90,empirical,Tew et al. (this study),1 species in genus (Impatiens neuguinea); 12 flowers measured (1 site on 1 day)
Inula conyzae,Inula,Asteraceae,ploughman's-spikenard,native,single capitulum,177.09,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Inula hirta,Inula,Asteraceae,inula,non-native,single capitulum,5746.58,empirical,Tew et al. (this study),1 species in genus (Inula hookeri); 9 flowers measured (1 site on 1 day) and 5 FUs counted
Iris spp (ornamental),Iris,Iridaceae,iris,non-native,single flower,3231.34,empirical,Tew et al. (this study),1 species in genus (Iris sibirica); 13 flowers measured (2 sites on 4 days)
Ixia sp,Ixia,Iridaceae,corn lily,non-native,single flower,218.32,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Jasminum nudiflorum,Jasminum,Oleaceae,winter jasmine,non-native,single flower,503.41,empirical,Tew et al. (this study),same species; 15 flowers measured (1 site on 1 day)
Jasminum officinale,Jasminum,Oleaceae,common jasmine,non-native,single flower,1516.22,empirical,Tew et al. (this study),same species; 15 flowers measured (1 site on 1 day)
Kalanchoe spp,Kalanchoe,Crassulaceae,kalanchoe,non-native,single flower,60.12,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Kerria japonica,Kerria,Rosaceae,Japanese kerria,non-native,single flower,30.58,empirical,Tew et al. (this study),same species; 21 flowers measured (2 sites on 2 days)
Knautia macedonica,Knautia,Dipsacaceae,Macedonian scabious,non-native,single capitulum,1395.65,empirical,Tew et al. (this study),same species; 20 flowers measured (2 sites on 2 days) and 6 FUs counted
Laburnum anagyroides,Laburnum,Fabaceae,"common laburnum, golden chain",non-native,single flower,94.60,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Lactuca sativa,Lactuca,Asteraceae,lettuce,non-native,single capitulum,177.09,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Lactuca serriola,Lactuca,Asteraceae,"prickly lettuce, milk thistle",non-native,single capitulum,177.09,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Lactuca virrosa,Lactuca,Asteraceae,wild/bitter lettuce,native,single capitulum,177.09,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Lamiastrum galeobdolon,Lamiastrum,Lamiaceae,yellow archangel,native,single flower,440.16,empirical,Baude et al. 2016,same species; 20 flowers measured (2 sites on 2 days)
Lamium album,Lamium,Lamiaceae,white dead-nettle,non-native,single flower,1043.99,empirical,Baude et al. 2016,same species; 20 flowers measured (2 sites on 2 days)
Lamium maculatum,Lamium,Lamiaceae,spotted dead-nettle,non-native,single flower,1043.99,empirical,Baude et al. 2016,1 species in genus (Lamium album); 20 flowers measured (2 sites on 2 days)
Lamium purpureum,Lamium,Lamiaceae,red dead-nettle,non-native,single flower,58.01,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 31 flowers measured (3 sites on 3 days); weighted mean used to combine datasets
Lamprocapnos spectabilis,Lamprocapnos,Papaveraceae,Asian bleeding-heart,non-native,single flower,676.68,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Lapsana communis,Lapsana,Asteraceae,nipplewort ,native,single capitulum,54.12,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 21 FUs counted (2 sites on 2 days); weighted mean used to combine datasets at FU level
Lathyrus latifolius,Lathyrus,Fabaceae,broad-leaved everlasting-pea,non-native,single flower,1387.82,empirical,Baude et al. 2016,same species; 10 flowers measured (1 site on 1 day)
Lathyrus odoratus,Lathyrus,Fabaceae,sweet pea,non-native,single flower,6.58,empirical,Tew et al. (this study),same species; 10 flowers measured (1 site on 1 day)
Lathyrus pratensis,Lathyrus,Fabaceae,"meadow vetchling, meadow pea",native,single flower,952.69,empirical,Baude et al. 2016,same species; 20 flowers measured (2 sites on 2 days)
Laurentia sp,Laurentia,Campanulaceae,rock/showy isotome,non-native,single flower,568.70,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Lavandula angustifolia/latifolia and hybrid,Lavandula,Lamiaceae,English/Portuguese lavander,non-native,single spike,2163.98,empirical,Tew et al. (this study),same species (Lavandula angustifolia); 22 flowers measured (2 sites on 2 days) and 15 FUs counted
Lavandula stoechas,Lavandula,Lamiaceae,French lavander,non-native,single spike,2163.98,empirical,Tew et al. (this study),1 species in genus (Lavandula angustifolia); 22 flowers measured (2 sites on 2 days) and 15 FUs counted
Leontodon hispidus,Leontodon,Asteraceae,rough/bristly hawkbit,native,single capitulum,1255.21,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 12 FUs counted (3 sites on 3 days); weighted mean used to combine datasets at FU level
Leontodon saxatilis,Leontodon,Asteraceae,"lesser hawkbit, rough hawkbit",native,single capitulum,1255.21,empirical,Baude et al. 2016; Hicks et al. 2016,1 species in genus (Leontodon hispidus); 12 FUs counted (3 sites on 3 days); weighted mean used to combine datasets at FU level
Lepidium draba,Lepidium,Brassicaceae,"whitetop, hoary cress",non-native,single flower,14.21,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Lepidium ruderale,Lepidium,Brassicaceae,"narrow-leaf pepperwort, roadside pepperweed, peppergrass",non-native,single flower,4.16,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Lepidium sativum,Lepidium,Brassicaceae,garden cress,non-native,single flower,4.16,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Leucanthemum vulgare,Leucanthemum,Asteraceae,oxeye daisy,native,single capitulum,1416.49,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 18 FUs counted (3 sites on 3 days); weighted mean used to combine datasets at FU level
Leucanthemum x superbum,Leucanthemum,Asteraceae,Shasta daisy,non-native,single capitulum,3581.76,empirical,Tew et al. (this study),same species; 20 flowers measured (2 sites on 2 days) and 9 FUs counted
Leucojum aestivum,Leucojum,Amaryllidaceae,summer snowflake,native,single flower,384.47,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Levisticum officinale,Levisticum,Apiaceae,lovage,non-native,secondary umbel,197.10,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Lewisia cotyledon,Lewisia,Montiaceae,"Siskiyou lewisia, cliff maids",non-native,single flower,365.78,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Leycesteria formosa,Leycesteria,Caprifoliaceae,Himalayan honeysuckle,non-native,single flower,799.07,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Ligustrum ovalifolium,Ligustrum,Oleaceae,garden privet,non-native,single flower,66.75,empirical,Baude et al. 2016,1 species in genus (Ligustrum vulgare); 9 flowers measured (1 site on 1 day)
Ligustrum vulgare,Ligustrum,Oleaceae,common privet,native,single flower,66.75,empirical,Baude et al. 2016,same species; 9 flowers measured (1 site on 1 day)
Lilium sp,Lilium,Liliaceae,lily,non-native,single flower,17.82,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Limnanthes douglasii,Limnanthes,Limnanthaceae,"poached egg plant, meadow foam",non-native,single flower,231.84,empirical,Tew et al. (this study),same species; 20 flowers (1 site on 2 days)
Linaria bipartita hybrid,Linaria,Scrophulariaceae,"Moroccan toadflax, annual toadflax",non-native,single flower,180.13,empirical,Tew et al. (this study),1 species in genus (Linaria purpurea); 20 flowers measured (2 sites on 2 days)
Linaria maroccana,Linaria,Scrophulariaceae,clovenlip toadflax,non-native,single flower,180.13,empirical,Tew et al. (this study),1 species in genus (Linaria purpurea); 20 flowers measured (2 sites on 2 days)
Linaria purpurea,Linaria,Scrophulariaceae,purple toadflax,non-native,single flower,180.13,empirical,Tew et al. (this study),same species; 20 flowers measured (2 sites on 2 days)
Linum catharticum,Linum,Linaceae,"purging flax, fairy flax",native,single flower,143.20,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Lithodora diffusa,Lithodora,Boraginaceae,purple gromwell,non-native,single flower,290.54,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Lobelia erinus,Lobelia,Campanulaceae,garden lobelia,non-native,single flower,90.67,empirical,Tew et al. (this study),same species; 10 flowers measured (1 site on 1 day)
Lobularia maritima,Lobularia,Brassicaceae,sweet alyssum,non-native,single corymb,75.44,empirical,Hicks et al. 2016,same species; 9 flowers measured (1 site on 1 day) and 12 FUs counted
Lonicera caprifolium/periclymenum and hybrids,Lonicera,Caprifoliaceae,common/Italian honeysuckle,native,single flower,1726.84,empirical,Baude et al. 2016,same species (Lonicera periclymenum); 30 flowers measured (2 sites on 2 days)
Lonicera japonica,Lonicera,Caprifoliaceae,Japanese honeysuckle,non-native,single flower,1726.84,empirical,Baude et al. 2016,1 species in genus (Lonicera periclymenum); 30 flowers measured (2 sites on 2 days)
Lonicera nitida,Lonicera,Caprifoliaceae,"box honeysuckle, Wilson's honeysuckle",non-native,single flower,285.38,modelled,Tew et al. (this study - modelled),Values estimated from predictive modelling
Lotus corniculatus,Lotus,Fabaceae,bird's-foot-trefoil,native,single flower,60.91,empirical,Baude et al. 2016; Hicks et al. 2016,same species; 32 flowers measured (3 sites on 3 days); weighted mean used to combine datasets
Lotus pedunculatus,Lotus,Fabaceae,"big trefoil, greater bird's-foot-trefoil",native,single flower,35.36,empirical,Baude et al. 2016,same species; 10 flowers measured (1 site on 1 day)
Lunaria annua,Lunaria,Brassicaceae,honesty,non-native,single flower,97.48,empirical,Tew et al. (this study),1 species in genus (Lunaria rediviva); 10 flowers measured (1 site on 1 day)
Lupinus sp,Lupinus,Fabaceae,lupin,non-native,single flower,5.83,empirical,Tew et al. (this study),1 species in genus (Lupinus hartwegii); 10 flowers measured (1 site on 1 day)
Lychnis flos-cuculi,Lychnis,Caryophyllaceae,Ragged-Robin,native,single flower,97.45,empirical,Tew et al. (this study),1 species in genus (Silene coronaria used as it is synonymous with Lychnis coronaria and Lychnis flos-cuculi is synonymous with Silene flos-cuculi); 15 flowers measured (1 site on 2 days)
Lysimachia ciliata,Lysimachia,Primulaceae,fringed loosestrife,non-native,single flower,0.00,empirical,Tew et al. (this study),same species; 10 flowers measured (1 site on 1 day)
Lysimachia ephemerum,Lysimachia,Primulaceae,willow-leaved loosestrife,non-native,single flower,2773.13,empirical,Tew et al. (this study),same species; 10 flowers measured (1 site on 1 day)
Lysimachia nemorum,Lysimachia,Primulaceae,yellow pimpernel,native,single flower,7.18,empirical,Baude et al. 2016,same species; 10 flowers measured (1 site on 1 day)
Lysimachia nummularia,Lysimachia,Primulaceae,"creeping jenny, moneywort",native,single flower,7.18,empirical,Baude et al. 2016,1 species in genus (Lysimachia nemorum); 10 flowers measured (1 site on 1 day)
