plant species,plant family,plant genus,additional information,community studied,literature source 1,link 1,literature source 2,link 2,literature source 3,link 3,reference,class,subclass,order,alliance,suballiance,community,continent/region,country,location name,decimal longitude,absolute latitude,decimal latitude,altitude [meters above sea level],year of the  data collection,mean yearly air temperature in degrees Celsius,January - mean monthly temp. [degrees Celsius],February - mean monthly temp. [degrees Celsius],March - mean monthly temp. [degrees Celsius],April - mean monthly temp. [degrees Celsius],May - mean monthly temp. [degrees Celsius],June - mean monthly temp. [degrees Celsius],July - mean monthly temp. [degrees Celsius],August - mean monthly temp. [degrees Celsius],September - mean monthly temp. [degrees Celsius],October - mean monthly temp. [degrees Celsius],November - mean monthly temp. [degrees Celsius],December - mean monthly temp. [degrees Celsius],total yearly  pecipitation in mm,January - total precipitation,February - total precipitation,March - total precipitation,April - total precipitation,May - total precipitation,June - total precipitation,July - total precipitation,August - total precipitation,September - total precipitation,October - total precipitation,November - total precipitation,December - total precipitation,flowering start,flowering end,flowering peak,flowering peak 2 (if occured),flowering lenght,total number of plants per m^2,total number of trees examined,total number of flowers per m^2,total number of inflorescenses per m^2,total number of flowers per m^2 of crown surface,total number of inflorescenses per m^2 of crown surface,total number of flowers per a single tree,total number of flowers per plant,total number of inflorescenses per a single tree,total number of inflorescenses per plant,tree age,mean number of flowering flowers per m^2 per day,peak number of flowering flowers per m^2,flower longevity [days],total nectar in µg per flower,total nectar in µL per flower,nectar in µg/flower/day ,nectar in µL/flower/day ,nectar in µg/inflorescence/day ,sugar concentration % in nectar,total sugar in µg per flower,sugar in µg/flower/day,total sugar in mg per inflorescence,sugar in µg/inflorescence/day,sugar yield in kg/ha per 1 year,sugar yield in g per tree per 1 year,sugar yield in g per 1 m^3 of the tree crown,honey yield in kg/ha per 1 year,honey yield from 1 flower in mg per 1 year,honey yield in g per 1 m^3 of the tree crown,honey yield in kg/tree per 1 year,total pollen yield per 1 year in kg/ha,total pollen yield per 1 year in kg per a single tree,total pollen yield per 1 year in number of grains per a single tree,total pollen in µg/flower,total pollen in µL/flower,total pollen per flower (the number of grains),total pollen in µg/inflorescence,total pollen in µL/inflorescence,total pollen in µg/plant/year,total pollen in number of grains per inflorescence,pollen in µg/flower/day ,pollen in µL/flower/day ,pollen in µL/inflorescence/day ,yearly pollen yield in number of grains per m^2 of the  crown,yearly pollen yield in g per 1 m^3 of the tree crown
Cichorieae spp.,Asteraceae,,bad year; data collected in the literature search in 2017-2018,unknown,Pamminger et al. 2019,https://peerj.com/articles/6329/,,,,,"Pamminger, T., Becker, R., Himmelreich, S., Schneider, Ch. W., Bergtold, M. 2019. The nectar report: Quantitative review of nectar sugar concentrations offered by bee visited flowers in agricultural and non-agricultural landscapes. PeerJ. 7, pp. E6329.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Cichorieae spp.,Asteraceae,,good year; data collected in the literature search in 2017-2018,unknown,Pamminger et al. 2019,https://peerj.com/articles/6329/,,,,,"Pamminger, T., Becker, R., Himmelreich, S., Schneider, Ch. W., Bergtold, M. 2019. The nectar report: Quantitative review of nectar sugar concentrations offered by bee visited flowers in agricultural and non-agricultural landscapes. PeerJ. 7, pp. E6329.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Cichorium intybus,Asteraceae,Cichorium,,natural phytocenosis (ruderal),Denisow 2011,https://www.researchgate.net/publication/330704442_Pollen_production_of_selected_ruderal_plant_species_in_the_Lublin_area_2011_University_of_Life_Sciences_in_Lublin_Press_1-89,,,,,"Denisow, B. 2011. Pollen production of selected ruderal plant species in the Lublin area. University of Life Sciences in Lublin Press. 86 pp.",,,,,,,Europe,Poland,Lublin,22.57,51.217,51.22,195,2002-2006,7.3,-3.6,-2.9,1,7.5,13,16.2,17.8,17.2,12.6,7.9,2.5,-1.3,550.9,21.7,24.8,26.3,40.2,57.7,65.8,83.5,68.6,51.6,40.1,39.1,31.5,,,,,103.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,,,,,
Cichorium intybus,Asteraceae,Cichorium,,natural phytocenosis (ruderal),Denisow 2011,https://www.researchgate.net/publication/330704442_Pollen_production_of_selected_ruderal_plant_species_in_the_Lublin_area_2011_University_of_Life_Sciences_in_Lublin_Press_1-89,,,,,"Denisow, B. 2011. Pollen production of selected ruderal plant species in the Lublin area. University of Life Sciences in Lublin Press. 86 pp.",Molinio-Arrhenatheretea,,Trifolio fragiferae-Agrostietalia stoloniferae,Agropyro-Rumicion crispi,,Community with Rorippa austriaca,Europe,Poland,Lublin area,22,51,51,,2002-2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.36,,,,,,,,,,,,,,
Cichorium intybus,Asteraceae,Cichorium,,natural phytocenosis (ruderal),Denisow 2011,https://www.researchgate.net/publication/330704442_Pollen_production_of_selected_ruderal_plant_species_in_the_Lublin_area_2011_University_of_Life_Sciences_in_Lublin_Press_1-89,,,,,"Denisow, B. 2011. Pollen production of selected ruderal plant species in the Lublin area. University of Life Sciences in Lublin Press. 86 pp.",Stellarietea mediae,,Sisymbretalia,Sisymbrion officinalis,,Sisymbrietum loeselii in variant with Onopordum acanthium,Europe,Poland,Lublin area,22,51,51,,2002-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.7,,,,,,,,,,,,,,
Cichorium intybus,Asteraceae,Cichorium,,natural phytocenosis (ruderal),Denisow 2011,https://www.researchgate.net/publication/330704442_Pollen_production_of_selected_ruderal_plant_species_in_the_Lublin_area_2011_University_of_Life_Sciences_in_Lublin_Press_1-89,,,,,"Denisow, B. 2011. Pollen production of selected ruderal plant species in the Lublin area. University of Life Sciences in Lublin Press. 86 pp.",Artemisietea vulgaris,Artemisietea vulgaris,Onopordetalia acanthii,Anopordion acanthii,Dauco-Melilotenion,Community with Berteroa incana,Europe,Poland,Lublin area,22,51,51,,2002-2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.9,,,,,,,,,,,,,,
Cichorium intybus,Asteraceae,Cichorium,collected from 38 publications and the existed databases,unknown,Ion et al. 2018,https://content.sciendo.com/view/journals/jas/62/2/article-p149.xml?language=en,,,,,"Ion, N., Odoux, J.-F., Vaissiere, B. E. 2018. Melliferous potential of weedy herbaceous plants in crop fields of Romania from 1949 to 2012. Journal of Apicultural Science. 62, pp. 149-165.",,,,,,,Europe,Romania,,24.8,45.6,45.6,,1942-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,
Circaea lutetiana,Onagraceae,Circaea,population 2,natural phytocenosis (woodland),Baude et al. 2015a,https://catalogue.ceh.ac.uk/documents/6c6d3844-e95a-4f84-a12e-65be4731e934,Baude et al. 2015b,https://catalogue.ceh.ac.uk/documents/69402002-1676-4de9-a04e-d17e827db93c,,,"Baude, M., Kunin, Memmott, J. 2015. Flower density values of common British plant species [AgriLand] AND Baude, M., Kunin, Memmott, J. 2015. Nectar sugar values of common British plant species [AgriLand].",,,,,,,Europe,United Kingdom,Bristol area,-2.59,51.45,51.45,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1142,,,,,,,,,,,,,,2.04,,,,,,,,3.28,,,,,,,,,,,,,,,,,,,,,
Circaea lutetiana,Onagraceae,Circaea,population 1,natural phytocenosis (woodland),Baude et al. 2015a,https://catalogue.ceh.ac.uk/documents/6c6d3844-e95a-4f84-a12e-65be4731e934,Baude et al. 2015b,https://catalogue.ceh.ac.uk/documents/69402002-1676-4de9-a04e-d17e827db93c,,,"Baude, M., Kunin, Memmott, J. 2015. Flower density values of common British plant species [AgriLand] AND Baude, M., Kunin, Memmott, J. 2015. Nectar sugar values of common British plant species [AgriLand].",,,,,,,Europe,United Kingdom,Bristol area,-2.59,51.45,51.45,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1142,,,,,,,,,,,,,,11.49,,,,,,,,3.28,,,,,,,,,,,,,,,,,,,,,
Circaea lutetiana,Onagraceae,Circaea,modelled values,modelled,Baude et al. 2016,https://www.nature.com/articles/nature16532,,,,,"Baude, M., Kunin, W. E., Boatman, M. D., Conyers, S., Davies, N., Gillespie, M. A. K., Morton, R. D., Smart, S. M., Memmott, J. 2016. Historical nectar assessment reveals the fall and rise of Britain in bloom. Nature, pp. 85-88.",,,,,,,Europe,United Kingdom,Bristol area,-2.59,51.45,51.45,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,152,243,197,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cirsium acaule,Asteraceae,Cirsium,,natural phytocenosis (heathland),Baude et al. 2015a,https://catalogue.ceh.ac.uk/documents/6c6d3844-e95a-4f84-a12e-65be4731e934,Baude et al. 2015b,https://catalogue.ceh.ac.uk/documents/69402002-1676-4de9-a04e-d17e827db93c,,,"Baude, M., Kunin, Memmott, J. 2015. Flower density values of common British plant species [AgriLand] AND Baude, M., Kunin, Memmott, J. 2015. Nectar sugar values of common British plant species [AgriLand].",,,,,,,Europe,United Kingdom,Bristol area,-2.59,51.45,51.45,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3243,,,,,,,,,,,,,,66.45,,,,,,,,526.88,,,,,,,,,,,,,,,,,,,,,
Cirsium acaule,Asteraceae,Cirsium,modelled values,modelled,Baude et al. 2016,https://www.nature.com/articles/nature16532,,,,,"Baude, M., Kunin, W. E., Boatman, M. D., Conyers, S., Davies, N., Gillespie, M. A. K., Morton, R. D., Smart, S. M., Memmott, J. 2016. Historical nectar assessment reveals the fall and rise of Britain in bloom. Nature, pp. 85-88.",,,,,,,Europe,United Kingdom,Bristol area,-2.59,51.45,51.45,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,152,273,212,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cirsium arvense,Asteraceae,Cirsium,,urban green area,Baude et al. 2015a,https://catalogue.ceh.ac.uk/documents/6c6d3844-e95a-4f84-a12e-65be4731e934,Baude et al. 2015b,https://catalogue.ceh.ac.uk/documents/69402002-1676-4de9-a04e-d17e827db93c,,,"Baude, M., Kunin, Memmott, J. 2015. Flower density values of common British plant species [AgriLand] AND Baude, M., Kunin, Memmott, J. 2015. Nectar sugar values of common British plant species [AgriLand].",,,,,,,Europe,United Kingdom,Bristol area,-2.59,51.45,51.45,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34000,,,,,,,,,,,,,,55.88,,,,,,,,80.01,,,,,,,,,,,,,,,,,,,,,
Cirsium arvense,Asteraceae,Cirsium,,natural phytocenosis (grassland),Baude et al. 2015a,https://catalogue.ceh.ac.uk/documents/6c6d3844-e95a-4f84-a12e-65be4731e934,Baude et al. 2015b,https://catalogue.ceh.ac.uk/documents/69402002-1676-4de9-a04e-d17e827db93c,,,"Baude, M., Kunin, Memmott, J. 2015. Flower density values of common British plant species [AgriLand] AND Baude, M., Kunin, Memmott, J. 2015. Nectar sugar values of common British plant species [AgriLand].",,,,,,,Europe,United Kingdom,Bristol area,-2.59,51.45,51.45,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36859,,,,,,,,,,,,,,105.28,,,,,,,,80.01,,,,,,,,,,,,,,,,,,,,,
Cirsium arvense,Asteraceae,Cirsium,modelled values,modelled,Baude et al. 2016,https://www.nature.com/articles/nature16532,,,,,"Baude, M., Kunin, W. E., Boatman, M. D., Conyers, S., Davies, N., Gillespie, M. A. K., Morton, R. D., Smart, S. M., Memmott, J. 2016. Historical nectar assessment reveals the fall and rise of Britain in bloom. Nature, pp. 85-88.",,,,,,,Europe,United Kingdom,Bristol area,-2.59,51.45,51.45,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,182,273,227,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cirsium arvense,Asteraceae,Cirsium,,natural phytocenosis (ruderal),Denisow 2011,https://www.researchgate.net/publication/330704442_Pollen_production_of_selected_ruderal_plant_species_in_the_Lublin_area_2011_University_of_Life_Sciences_in_Lublin_Press_1-89,,,,,"Denisow, B. 2011. Pollen production of selected ruderal plant species in the Lublin area. University of Life Sciences in Lublin Press. 86 pp.",,,,,,,Europe,Poland,Lublin,22.57,51.217,51.22,195,2002-2006,7.3,-3.6,-2.9,1,7.5,13,16.2,17.8,17.2,12.6,7.9,2.5,-1.3,550.9,21.7,24.8,26.3,40.2,57.7,65.8,83.5,68.6,51.6,40.1,39.1,31.5,,,,,59.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525,,,,,,,,
Cirsium arvense,Asteraceae,Cirsium,,natural phytocenosis (ruderal),Denisow 2011,https://www.researchgate.net/publication/330704442_Pollen_production_of_selected_ruderal_plant_species_in_the_Lublin_area_2011_University_of_Life_Sciences_in_Lublin_Press_1-89,,,,,"Denisow, B. 2011. Pollen production of selected ruderal plant species in the Lublin area. University of Life Sciences in Lublin Press. 86 pp.",Artemisietea vulgaris,Artemisietea vulgaris,Onopordetalia acanthii,Anopordion acanthii,Dauco-Melilotenion,Community with Berteroa incana,Europe,Poland,Lublin area,22,51,51,,2002-2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.74,,,,,,,,,,,,,,
Cirsium arvense,Asteraceae,Cirsium,,natural phytocenosis (ruderal),Denisow 2011,https://www.researchgate.net/publication/330704442_Pollen_production_of_selected_ruderal_plant_species_in_the_Lublin_area_2011_University_of_Life_Sciences_in_Lublin_Press_1-89,,,,,"Denisow, B. 2011. Pollen production of selected ruderal plant species in the Lublin area. University of Life Sciences in Lublin Press. 86 pp.",Artemisietea vulgaris,Artemisietea vulgaris,Artemisietalia vulgaris,Arction lappae,,Bunietum orientalis,Europe,Poland,Lublin area,22,51,51,,2002-2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.18,,,,,,,,,,,,,,
Cirsium arvense,Asteraceae,Cirsium,,natural phytocenosis (ruderal),Denisow 2011,https://www.researchgate.net/publication/330704442_Pollen_production_of_selected_ruderal_plant_species_in_the_Lublin_area_2011_University_of_Life_Sciences_in_Lublin_Press_1-89,,,,,"Denisow, B. 2011. Pollen production of selected ruderal plant species in the Lublin area. University of Life Sciences in Lublin Press. 86 pp.",Artemisietea vulgaris,Artemisietea vulgaris,Onopordetalia acanthii,Onopordion acanthii,Dauco-Melilotenion,Artemisio-Tanacetum vulgaris,Europe,Poland,Lublin area,22,51,51,,2003-2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.63,,,,,,,,,,,,,,
Cirsium arvense,Asteraceae,Cirsium,,natural phytocenosis (ruderal),Denisow 2011,https://www.researchgate.net/publication/330704442_Pollen_production_of_selected_ruderal_plant_species_in_the_Lublin_area_2011_University_of_Life_Sciences_in_Lublin_Press_1-89,,,,,"Denisow, B. 2011. Pollen production of selected ruderal plant species in the Lublin area. University of Life Sciences in Lublin Press. 86 pp.",Artemisietea vulgaris,Artemisietea vulgaris,Onopordetalia acanthii,Onopordion acanthii,Dauco-Melilotenion,Echio-Melilotetum,Europe,Poland,Lublin area,22,51,51,,2002-2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1,,,,,,,,,,,,,,
Cirsium arvense,Asteraceae,Cirsium,,natural phytocenosis (ruderal),Denisow 2011,https://www.researchgate.net/publication/330704442_Pollen_production_of_selected_ruderal_plant_species_in_the_Lublin_area_2011_University_of_Life_Sciences_in_Lublin_Press_1-89,,,,,"Denisow, B. 2011. Pollen production of selected ruderal plant species in the Lublin area. University of Life Sciences in Lublin Press. 86 pp.",Artemisietea vulgaris,Artemisietea vulgaris,Artemisietalia vulgaris,Arction lappae,,Community with Cirsium arvense,Europe,Poland,Lublin area,22,51,51,,2002-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.03,,,,,,,,,,,,,,
Cirsium arvense,Asteraceae,Cirsium,,urban green area,Hicks et al. 2016,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0158117#sec010,,,,,"Hicks, D. M., Ouvrard, P., Baldock, K. C. R., Baude, M., Goddard, M. A., Kunin, W. E., Mitschunas, N., Memmott, J., Morse, H., Nikolitsi, M., Osgathorpe, L. M., Potts, S. G., Robertson, K. M., Scott, A. V., Sinclair, F., Westbury, D. B., Stone, G. N. 2016. Food for pollinators: Quantifying the nectar and pollen resources of urban flower meadows. 11, pp. 1-37.",,,,,,,Europe,United Kingdom,Edinburgh,-3.19,55.94,55.94,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,,,,,2608.94,,,,,,,,,,,,,,,0.6,,,,,0.104,,
Cirsium arvense,Asteraceae,Cirsium,collected from 38 publications and the existed databases,unknown,Ion et al. 2018,https://content.sciendo.com/view/journals/jas/62/2/article-p149.xml?language=en,,,,,"Ion, N., Odoux, J.-F., Vaissiere, B. E. 2018. Melliferous potential of weedy herbaceous plants in crop fields of Romania from 1949 to 2012. Journal of Apicultural Science. 62, pp. 149-165.",,,,,,,Europe,Romania,,24.8,45.6,45.6,,1942-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,
Cirsium lanceolatum,Asteraceae,Cirsium,collected from 38 publications and the existed databases,unknown,Ion et al. 2018,https://content.sciendo.com/view/journals/jas/62/2/article-p149.xml?language=en,,,,,"Ion, N., Odoux, J.-F., Vaissiere, B. E. 2018. Melliferous potential of weedy herbaceous plants in crop fields of Romania from 1949 to 2012. Journal of Apicultural Science. 62, pp. 149-165.",,,,,,,Europe,Romania,,24.8,45.6,45.6,,1942-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,
Cirsium oleraceum,Asteraceae,Cirsium,,field experiment,Jabłoński et al. 1992,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-article-c978225f-00cb-4f37-8583-567c3630c66b?q=bwmeta1.element.agro-volume-ce165fa2-7485-46a6-b0eb-c19f8094aa05;7&qt=CHILDREN-STATELESS,,,,,"Jabłoński, B., Kołtowski, Z., Dąbska, B. 1992. Nektarowanie i wydajność miodowa ważniejszych roślin miododajnych w warunkach Polski. Część VII [Nectar secretion and honey efficiency of important honey plants grown under Poland's conditions. Part VII]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 36, pp. 54-64",,,,,,,Europe,Poland,Puławy,22,51.4,51.4,,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,199,248,,,50,19,,42800,,,,,,,,,,,,1500,,,,,54.7,818,,,,,,,438,,,,,,,,,,,,,,,,,,
Cirsium oleraceum,Asteraceae,Cirsium,,field experiment,Jabłoński et al. 1992,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-article-c978225f-00cb-4f37-8583-567c3630c66b?q=bwmeta1.element.agro-volume-ce165fa2-7485-46a6-b0eb-c19f8094aa05;7&qt=CHILDREN-STATELESS,,,,,"Jabłoński, B., Kołtowski, Z., Dąbska, B. 1992. Nektarowanie i wydajność miodowa ważniejszych roślin miododajnych w warunkach Polski. Część VII [Nectar secretion and honey efficiency of important honey plants grown under Poland's conditions. Part VII]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 36, pp. 54-64",,,,,,,Europe,Poland,Puławy,22,51.4,51.4,,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,203,258,,,56,7,,57800,,,,,,,,,,,,1340,,,,,55,736,,,,,,,531,,,,,,,,,,,,,,,,,,
Cirsium oleraceum,Asteraceae,Cirsium,,field experiment,Jabłoński et al. 1992,http://agro.icm.edu.pl/agro/element/bwmeta1.element.agro-article-c978225f-00cb-4f37-8583-567c3630c66b?q=bwmeta1.element.agro-volume-ce165fa2-7485-46a6-b0eb-c19f8094aa05;7&qt=CHILDREN-STATELESS,,,,,"Jabłoński, B., Kołtowski, Z., Dąbska, B. 1992. Nektarowanie i wydajność miodowa ważniejszych roślin miododajnych w warunkach Polski. Część VII [Nectar secretion and honey efficiency of important honey plants grown under Poland's conditions. Part VII]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 36, pp. 54-64",,,,,,,Europe,Poland,Puławy,22,51.4,51.4,,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,198,252,,,55,10,,72300,,,,,,,,,,,,1650,,,,,52.7,868,,,,,,,784,,,,,,,,,,,,,,,,,,
Cirsium palustre,Asteraceae,Cirsium,,natural phytocenosis (grassland),Baude et al. 2015a,https://catalogue.ceh.ac.uk/documents/6c6d3844-e95a-4f84-a12e-65be4731e934,Baude et al. 2015b,https://catalogue.ceh.ac.uk/documents/69402002-1676-4de9-a04e-d17e827db93c,,,"Baude, M., Kunin, Memmott, J. 2015. Flower density values of common British plant species [AgriLand] AND Baude, M., Kunin, Memmott, J. 2015. Nectar sugar values of common British plant species [AgriLand].",,,,,,,Europe,United Kingdom,Bristol area,-2.59,51.45,51.45,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15317,,,,,,,,,,,,,,182.77,,,,,,,,4733.31,,,,,,,,,,,,,,,,,,,,,
Cirsium palustre,Asteraceae,Cirsium,,natural phytocenosis (grassland/wetland),Baude et al. 2015a,https://catalogue.ceh.ac.uk/documents/6c6d3844-e95a-4f84-a12e-65be4731e934,Baude et al. 2015b,https://catalogue.ceh.ac.uk/documents/69402002-1676-4de9-a04e-d17e827db93c,,,"Baude, M., Kunin, Memmott, J. 2015. Flower density values of common British plant species [AgriLand] AND Baude, M., Kunin, Memmott, J. 2015. Nectar sugar values of common British plant species [AgriLand].",,,,,,,Europe,United Kingdom,Bristol area,-2.59,51.45,51.45,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16456,,,,,,,,,,,,,,249.6,,,,,,,,4733.31,,,,,,,,,,,,,,,,,,,,,
Cirsium palustre,Asteraceae,Cirsium,modelled values,modelled,Baude et al. 2016,https://www.nature.com/articles/nature16532,,,,,"Baude, M., Kunin, W. E., Boatman, M. D., Conyers, S., Davies, N., Gillespie, M. A. K., Morton, R. D., Smart, S. M., Memmott, J. 2016. Historical nectar assessment reveals the fall and rise of Britain in bloom. Nature, pp. 85-88.",,,,,,,Europe,United Kingdom,Bristol area,-2.59,51.45,51.45,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,182,273,196,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cirsium vulgare,Asteraceae,Cirsium,population 2,urban green area,Baude et al. 2015a,https://catalogue.ceh.ac.uk/documents/6c6d3844-e95a-4f84-a12e-65be4731e934,Baude et al. 2015b,https://catalogue.ceh.ac.uk/documents/69402002-1676-4de9-a04e-d17e827db93c,,,"Baude, M., Kunin, Memmott, J. 2015. Flower density values of common British plant species [AgriLand] AND Baude, M., Kunin, Memmott, J. 2015. Nectar sugar values of common British plant species [AgriLand].",,,,,,,Europe,United Kingdom,Bristol area,-2.59,51.45,51.45,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194350,,,,,,,,,,,,,,44.71,,,,,,,,1961.79,,,,,,,,,,,,,,,,,,,,,
Cirsium vulgare,Asteraceae,Cirsium,population 1,urban green area,Baude et al. 2015a,https://catalogue.ceh.ac.uk/documents/6c6d3844-e95a-4f84-a12e-65be4731e934,Baude et al. 2015b,https://catalogue.ceh.ac.uk/documents/69402002-1676-4de9-a04e-d17e827db93c,,,"Baude, M., Kunin, Memmott, J. 2015. Flower density values of common British plant species [AgriLand] AND Baude, M., Kunin, Memmott, J. 2015. Nectar sugar values of common British plant species [AgriLand].",,,,,,,Europe,United Kingdom,Bristol area,-2.59,51.45,51.45,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194350,,,,,,,,,,,,,,108.31,,,,,,,,1961.79,,,,,,,,,,,,,,,,,,,,,
Cirsium vulgare,Asteraceae,Cirsium,modelled values,modelled,Baude et al. 2016,https://www.nature.com/articles/nature16532,,,,,"Baude, M., Kunin, W. E., Boatman, M. D., Conyers, S., Davies, N., Gillespie, M. A. K., Morton, R. D., Smart, S. M., Memmott, J. 2016. Historical nectar assessment reveals the fall and rise of Britain in bloom. Nature, pp. 85-88.",,,,,,,Europe,United Kingdom,Bristol area,-2.59,51.45,51.45,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,182,304,243,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cirsium vulgare,Asteraceae,Cirsium,,natural phytocenosis (ruderal),Denisow 2011,https://www.researchgate.net/publication/330704442_Pollen_production_of_selected_ruderal_plant_species_in_the_Lublin_area_2011_University_of_Life_Sciences_in_Lublin_Press_1-89,,,,,"Denisow, B. 2011. Pollen production of selected ruderal plant species in the Lublin area. University of Life Sciences in Lublin Press. 86 pp.",,,,,,,Europe,Poland,Lublin,22.57,51.217,51.22,195,2002-2006,7.3,-3.6,-2.9,1,7.5,13,16.2,17.8,17.2,12.6,7.9,2.5,-1.3,550.9,21.7,24.8,26.3,40.2,57.7,65.8,83.5,68.6,51.6,40.1,39.1,31.5,,,,,51.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774,,,,,,,,
Cirsium vulgare,Asteraceae,Cirsium,,natural phytocenosis (ruderal),Denisow 2011,https://www.researchgate.net/publication/330704442_Pollen_production_of_selected_ruderal_plant_species_in_the_Lublin_area_2011_University_of_Life_Sciences_in_Lublin_Press_1-89,,,,,"Denisow, B. 2011. Pollen production of selected ruderal plant species in the Lublin area. University of Life Sciences in Lublin Press. 86 pp.",Artemisietea vulgaris,Artemisietea vulgaris,Onopordetalia acanthii,Anopordion acanthii,Dauco-Melilotenion,Community with Berteroa incana,Europe,Poland,Lublin area,22,51,51,,2002-2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,
Cistus albidus,Cistaceae,Cistus,,natural phytocenosis (scrub),Warakomska 1972,https://agris.fao.org/agris-search/search.do?recordID=US201303269548,,,,,"Warakomska, Z. 1972.  Badania nad wydajnością pyłkową roślin [Studies on floral pollen production]. Pszczelnicze Zeszyty Naukowe [Journal of Apicultural Science]. 16, pp. 63-90",,,,,,,Europe,France,Montfavet,4.89,43.93,43.93,,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7,,,3250,,,,,,,,,,,
